,rating,cons
0,4.7,"Working Hours/Holidays/Holidays: It's up to you to find a work-life balance. The basic working hours are from 9:00 to 18:00, but it is a super flextime with no core time. Therefore, you have to control it yourself. However, there are many things that must be done, such as self-study, document preparation, and customer surveys, so it is necessary to secure study time outside of work hours. It would be nice if I could make time to study during working hours, but most of the time I spend outside working hours due to customer support, research to advance business negotiations, internal meetings, etc. If you decide what to do and what not to do, you can maintain a good work-life balance, but if you try to do everything, even if you work until late at night every day, you will not be able to finish it, and you will be busy with work on holidays, and you will lose your balance. People who are not mentally bold tend to be hard to break down, push themselves into overwork, and tend to get sick. up to your control. Diverse work style support: Remote work depends on the department. Some departments are fully remote, while others come to work once or twice a week. However, family circumstances are taken into consideration, so they are not forced to come to work. Because of super flextime, it is possible to adjust the schedule, such as delaying the start of the morning to go to work after sending the child to nursery school for family reasons, or leaving early to pick up the child."
1,5.0,"Salary system: 80% of the estimated annual income presented is fixed salary and the remaining 20% ​​is incentives Incentives are paid quarterly. The calculation of incentives is more influenced by the figures of Japan as a whole than the figures of individuals, so for better or worse, you can get almost the same or more income than the initially presented assumed annual income. It is rare that you will receive an amount that is significantly different from the initial estimate, but it will not be less than the initial estimate. Evaluation system: Opportunity for promotion twice a year. As a premise, achieving individual goals is an important criterion for judgment, and if they do not achieve them, they will not be candidates for promotion in the first place. Among those who have achieved the goal, those who make a high degree of contribution in consideration of other activities and those who make high-quality proposals are promoted. There is also a pay raise apart from promotion, and there is a chance for a pay raise once a year. Salary increases are something that can be done if you are working normally, and your salary will increase by about 3 to 5% a year. The salary of the company is relatively high to begin with, so if your salary is 10 million yen in the previous year, your annual income will increase by 500,000 yen the following year, even if you are not promoted."
2,5.0,"Welfare: There is a good cafeteria in the office. The espresso machine is automatic, but the beans are specially roasted and replenished with good freshness, so I don't think you can taste the taste of this quality even at a full-fledged store. At first, most of the food was sweets, but in response to the voices of employees, healthy items such as dried fruits, fruits, nuts, and yogurt were offered, and I was worried about how much it would cost. Sometimes. ESPP and RSU, which are common in foreign companies, are helping to build assets other than salary at this time when stock prices are rising. Office Environment: Free desks are common due to lack of space for the increasing number of employees. There are quite a few meeting rooms, but they are not enough. The office furniture is well-invested, and the Aeron chair and stand-up desk are a big plus for someone who works long hours."
3,2.8,"Working Hours/Holiday Leave: Work-life balance is non-existent as long as you're an account executive. If you want to achieve this, you are told to work every day after 23:00 or until midnight, work on Saturdays and Sundays, and make five appointments all day from 9:00 to 19:00. If you don't have many appointments, your calendar screenshots will be made public and exposed to the company. Of course, the documentation will be done after that. In addition to that, commercial sales are made to build the customer's system. Diverse work style support: remote possible However, commercials have recently become obligatory to come to work, so it is possible to go home early.It means that you can work from home. Side jobs are OK."
4,4.7,"Working Hours/Holidays/Holidays: It's up to you to find a work-life balance. The basic working hours are 9:00-18:00, but it is a super flextime with no core time. Therefore, you have to control it yourself. However, there are many things to remember, so it is necessary to secure study time outside of working hours. It would be nice if I could make time to study during working hours, but most of the time I have to spend time outside of working hours due to in-house meetings, etc. for customer service and business negotiations. If you decide what to do and what not to do, you can maintain a good work-life balance. People who are not mentally bold tend to be hard to break down, push themselves into overwork, and tend to get sick. up to your control."
5,5.0,"Salary system: Base + Incentive is the basic base for sales is low, but incentives fluctuate greatly depending on the results of individual goals, so successful sales can get high salaries regardless of age and get promoted. Other than sales, basically, incentives fluctuate according to the achievement of team goals, so there is no big fluctuation in salary. Funds for back-office systems are determined by company-wide performance, and bonuses are determined by process evaluations by managers. Evaluation system: Basically, I think that meritocracy is thoroughly enforced. The number of people has increased considerably in the last few years, but the salary is high, but the ability. . . At least I don't see people around me."
6,4.9,"Welfare: There is no housing subsidy as it is a foreign company, but there are some distinctive welfare programs such as a subsidy for infertility treatment and a health investment subsidy of 10,000 yen per month. Office environment: Around March-April 2020, when the policy based on telework was decided, subsidies to prepare the home environment were provided (and basic facilities such as headsets and mobile routers were given separately). I thought it was generous. At present, it is easy to work in the home environment with that assistance, but the fulfillment of the office is also one of the great attractions. You can concentrate on your work while changing your mood at the light meal space and desks with various layouts."
7,3.8,"Welfare program: Welfare program is very fulfilling. I feel that it is not an operation that is easy for people to handle. The office environment is highly convincing when you consider the generous welfare package to endure the operation: There is a stylish cafeteria and free sweets, etc., and I feel that I am working in a very good environment. The environment inside the company is probably unimaginable in a Japanese company. as if. It feels like a company doing BtoC business."
8,4.3,"Welfare: I think that I am very blessed, such as subsidizing the cost of equipment for remote work. When I was working in the office, there were various drinks and food in the cafe space, and it was so fulfilling that I could live there. Office environment: It's currently fully remote, but when I went to work, it was very accessible because it was directly connected to Tokyo Station at JP Tower and I could walk from Otemachi. The new office building was built on the Otemachi side, so the only drawback is that people who used to commute from Tokyo Station will have to walk a little longer."
9,5.0,"Salary system: If you give a square number to a rabbit, it will bounce back to your salary. Moreover, basically it will be reflected in the next month's salary, so motivation will increase. In addition, it often happens that the incentive is doubled or tripled only for special products called Spiff, so even if the annual achievement rate is 60%, it often exceeds the theoretical annual income. It's a great company with an amazing system. Evaluation system: Only numbers are reflected in the evaluation, so it is extremely easy to understand, and there is no need for extra thinking or rulers."
10,4.3,"Salary system: I think that it is good because the salary is secured to some extent for the Mgr position. If the number of outside sales increases, the annual income will be considerable, but if it does not increase, there is a risk that it will be considerably low. It seems that there is a dream because an annual income of 100 million is not a dream just by signing a big one shot. Evaluation system: Basically, we decide whether or not you can be promoted by interviewing people other than your own department. However, I think that the number of people who talk about positions has increased considerably as the company has grown."
11,4.5,"Salary level: Sales positions have a base: incentive ratio of 6:4, making it an unsuitable environment for those who want to earn a stable income on a base basis. This is a standard level for a foreign company, but depending on the department and position, the base may be extremely low, so it may be difficult for married people and householders who need a stable life. It seems that there is room for negotiation with HR before joining the company, but there is a possibility that you will fall into an unexpected pitfall if you judge only by the high theoretical annual salary. The difference in treatment between people who are headhunted and those who apply is tremendous, and depending on the person, there are cases where the theoretical annual salary is double even for the same position or position. Some sales representatives actually joined the company with a theoretical annual salary similar to that of an executive."
12,5.0,"Salary system: As much as you raise sales, it bounces back to your salary. The commission is basically reflected in the salary in the next month, so that is also a motivation. In addition, it is also wonderful that the campaign is managed so that the motivation is not interrupted because the campaign of double or triple the commission is run depending on the situation. However, I think there is a lot of variation in the numbers depending on the area you are in charge of. Evaluation system: There is no doubt that it is meritocracy. Those who achieve results are evaluated. That said, if it is clear from the outside that even those who haven't raised it are making an effort, it is considered to be an object of evaluation."
13,4.9,"Welfare: There is no housing subsidy, but I feel that the salary is reasonably high. Many employees use the system of purchasing company stock as an investment tool. Regarding welfare, there is a system that subsidizes the expenses used for maintaining health by a certain amount every month, and everyone uses it habitually. Office environment: very clean. You are free to use any seat that is vacant. There is a mindfulness room where you can meditate and take a rest if you are tired."
14,4.8,"Salary system: Since the percentage of incentives is large, there is a big difference between new graduates and mid-career employees, and whether they are in sales or not. Since the budget is abundant, there are many allowances such as well-being allowance and home assistance. Evaluation system: There is no trend of seniority system like Japanese companies. Since the evaluation is clear and made by a large number of people involved in various fields, basically we do not receive evaluations that cause dissatisfaction."
15,3.8,"Welfare: The company also pays half of the corporate-type defined contribution pension. You can buy your shares on pretty good terms. Unlike Japanese companies, there are no housing subsidies or book purchase costs, but business school and outside courses can be covered up to about 600,000 yen a year. Also, I have the impression that there is quite a bit of care when something happens, such as illness, including family members. Office environment: Unknown at this time as we are moving to a new office"
16,4.0,"Office environment: Conference rooms are glass-enclosed for transparency. You can also get sweets and drinks for free at the cafe. Until before Corona, light meals were also provided. The office is directly connected to Tokyo Station, so you can commute without getting wet in the rain. From February this year, it will be directly connected to Otemachi Station, so you can come to work without getting wet in the rain. However, due to full remote work, there are few opportunities to go to the office. Even if there is, it is necessary to pre-register with the company's service before coming to work."
17,4.8,"Welfare: There are no housing subsidies, dormitories, property accumulation savings, etc. You can buy employee discount stocks. PC peripherals can be purchased at the company's vending machines. You can eat furugura, yogurt, sweets, ice cream, etc. for free. There are plenty of drinks, sometimes red bull. Office Environment: There are many meeting rooms and refreshment spaces. Some rooms seem to be empty."
18,4.3,"Business strengths: Product groups such as CRM and EC seem to continue to be in demand due to the COVID-19 crisis. Weaknesses in the business: I feel that they are looking for customers who fit hypothetical issues because they are more focused on selling their own products rather than making proposals that match the customer's issues. Since there is a custom of praising and imitating successful cases, it is often the case that similar developments are made by twisting the materials, but I think that this will not work in the future."
19,4.3,"Gap between expectations when joining the company and after joining: Although I negotiated with customers as an enterprise salesperson, I could not get out of selling licenses, and I felt that most of the proposals for the last mile depended on partner vendors. Even if it was sold directly as it is, I didn't feel like I could finally see how the customer implemented it and improved their business. Even if it was just partial optimization, there were many responses that forced us into the department."
20,4.5,"Welfare: ・Shareholding system ・There is a subsidy for health activities (gym, massage, etc.) up to 10,000 yen per month, which leads to motivation to actively use it. Office environment: There was a situation where the office was unable to keep up with the increase in the number of people, but I think that COVID-19 has changed everything. We are planning to move to our own building next year, so I think it will improve."
21,4.1,"Benefits: Benefits other than commuting allowances and social insurance are listed on the menu. Office Environment: The office is located in a prime location near Tokyo Station. For employees who do not live in the city center, commuting time was often painful, but since the corona crisis, remote work has become the default, making it easier to work. The office requires a reservation to come to work, so there are cases where it is not possible to get a place."
22,5.0,"Welfare: I have the impression that the company has a well-developed welfare program that puts the ease of working for employees first. If it is an initiative that benefits the health of employees, it will be paid separately from the monthly salary of 10,000 yen. Widely used for massage, golf, gym, etc. There is support for staff with children, and it is an environment that is very easy to work for those with families. Although the only drawback is that there is no retirement allowance, the salary level is high, so if you can save money systematically, there is no problem."
23,3.8,"Corporate culture/corporate style: We have a system for volunteering, and many employees are highly conscious of contributing to society. Diversity/Diversity: It's a foreign company, but I think it's quite a Japanese company. There are some foreign employees, but my impression is that most of them can speak Japanese without difficulty. Personnel exchanges such as assignments to the head office are not very popular."
24,4.3,"Salary system: Annual salary system and commission (incentive) payment system. The ratio is 60% of annual salary and 40% of commission, which is determined in a personnel interview before joining the company. Partly because of the high awareness of the company's ES and the recent good performance, a certain percentage of the sales support for remote work due to Corona (subsidies for purchasing IT equipment at home) and sales that could not go out due to self-restraint restrictions A generous system such as commission compensation is in place."
25,4.7,"Salary system: base salary + incentives. Incentives fluctuate according to target achievement rate. There is no cap on the amount of incentives paid. The more you sell, the more you will be returned. Depending on the time and product, the incentive amount may increase by 1.5 to 3 times. There are no bonuses as there are plenty of incentives. If you sell, you can make money, but if you don't sell, you don't get incentives, so your salary fluctuates. Transportation expenses are calculated at actual cost."
26,5.0,"Working hours/holidays/leaves: Since you control what you need to do, you can plan your own days off. Some people almost use up the paid leave they were given. In addition to paid leave, there are sick leave that can be used when you catch a cold, and nursing care leave that you can use when your child catches a cold and misses school. I don't and I can't stop."
27,4.7,"Salary system: base salary + incentives. Incentives fluctuate according to target achievement rate. There is no cap on the amount of incentives paid. The more you sell, the more you will be returned. Depending on the season and product, the incentive amount may increase by 1.5 to 2 times. There are no bonuses as there are plenty of incentives. If you sell, you can make money, but if you don't sell, there is no incentive, so your salary fluctuates. Transportation expenses are calculated at actual cost."
28,3.9,"Salary system: The percentage of incentives is huge. I think the current situation is that ote is quite low compared to other foreign companies. However, since the incentive is not only the amount but also the number of years of contract, spiff, etc., you can earn money even if you do not achieve it, and if you achieve it, you will get an accelerator, so it is good. Evaluation system: Depends on the account. mostly quantitative"
29,4.5,"Business outlook: To be honest, it has spread considerably due to acquisitions, but I think it will slow down in the future. Large-scale introduction by major companies has progressed considerably in Japan as well, so I wonder if there will be any white space in the future. After that, even though the target sales per sales person is increasing, the number of people in charge is increasing and the number of accounts in charge is decreasing, so the impression that the incentive that is umami is getting less and less."
30,4.1,"Salary system: Divided into basic salary and performance-based salary, and for performance-based salary, each employee's goals can be flexibly defined in consultation with their superiors. Evaluation system: Job grades are clearly defined, and the criteria required for promotion are clear. Evaluation criteria other than work results, such as age and gender, are almost non-existent."
31,3.7,"Salary system: A little higher than other companies in the same industry. Granted stock options. Evaluation system: Since this is a new company, there is no seniority system. Most of them are mid-career hires. It's not a perfect meritocracy, but ability is required. English proficiency will be an advantage."
32,4.7,"Salary system: 10% of annual salary is bonus. Bonuses are not necessarily paid in full. Assuming full payment, 75 percent of the bonus will be paid in April and the remaining 25 percent in October. Evaluation system: There are clear criteria for promotion, which are open to all employees."
33,3.5,"Growth/career development: Career options seem to be wide, but I feel that they are narrow. In particular, when changing jobs from a different industry, the career begins with inside sales, but after that it is difficult to choose a career other than outside sales. There are many people who cannot choose a career because there are no slots, so they stay inside sales and start looking for a new job."
34,4.5,"Salary system: I think the salary level is generally high compared to the industry. There are an overwhelming number of mid-career employees, and I think that the range differs depending on the experience at the time of joining the company. Evaluation system: Numerical results are evaluated in an easy-to-understand manner, but on the other hand, if you can't leave numbers, it is difficult to lead to evaluation."
35,4.5,"Welfare program: There is a system that allows you to purchase the company's stock at a discount without housing subsidies. Office environment: There is an environment where you can work very cleanly and comfortably, such as office space. Snacks and drinks are available free of charge, so if you get hungry, you can continue your work while picking them up."
36,5.0,"Salary system: Although it depends on the type of job, sales are annual salary system + volume. So basically no overtime. However, due to the high standard, many employees are very satisfied with the evaluation system: promotion is basically once a year and the degree of difficulty is high. However, some people are promoted during the term. There are many young managers who are completely meritocracy."
37,3.7,"Benefits: Stock options are contracted. Office environment: Located in a prime location in the city center. I don't use an umbrella because the building is directly connected to Tokyo Station. There is a free vending machine in the company, and rice balls, sandwiches, ice cream, drinks, etc. are all free."
38,4.7,"Welfare: There is a system for purchasing company stock up to 15% of annual salary. There are 20 days of paid leave from the first year, 12 days of sick leave, and 5 days of nursing leave. Office Environment: We recently moved our head office to Otemachi. I've never been there, so I don't know the details."
39,5.0,"Benefits: Very cheap to buy company stock. Specifically, you can purchase at 15% off the price of the first and last half of the year, whichever is lower. Office environment: Work from home almost completely from March 2020 through July 2021."
40,3.7,"Salary system: There is quite a gap. Most of them are on an annual salary system. There are also bonuses at the end of the year. There are stock options, and you can sell the company stock. Evaluation system: Most of them are mid-career hires."
41,4.5,"Working hours/holidays/holidays: If you are assigned to a department that does not know the abilities and capacities of individual temporary staff, you will be given unreasonable requests such as ""please by tomorrow morning"" when there is clearly not enough time. may require long hours of overtime. Employees seem to assume that telework is possible, so they can take their computers home and work, but many people don't seem to understand that temporary employees can't do their work unless they're at the company. Also, even if a temporary employee consults that he or she is working overtime and cannot finish it within the deadline, the employee will be merciless and say, ""That's not my job,"" and leave without helping. I'm trying to shift."
42,4.5,"Working hours and holidays: Working hours are 8 hours with a 1 hour break from 9:00 to 18:00, which is very common. If the work is not busy, you can basically leave work on time. Also, you can go at any time during your lunch break, so if you want to avoid crowds, you can stagger your schedule to 11:30 or 13:00. The Marunouchi area, where our Japanese head office is located, is particularly crowded during lunchtime, so we are very grateful for that. Since our employees work flextime, it is possible for temporary employees to change their working hours if they have a reasonable reason and consult with us. In the past, when I said, ""I want to leave the office at 17:00 to go to the hospital, so I'd like to go to work one hour earlier, at 8:00,"" I got approval."
