,Unnamed: 0,title,author_info,rating,pros,cons,helpful
0,0,Great Place To Work,"May 3, 2021 - Partner Account Manager in Washington, DC",5.0,"Leader support, Transparency, Benefits, work/life balance",I have not found any cons yet.,Be the first to find this review helpful
1,1,Opportunity for Growth,"May 3, 2021 - Business Development Representative in Seattle, WA",5.0,-Quickly move up -Access to networking with people in all positions -Unlimited resources to help you grow/learn,"-Large company, there can be a decent amount of red tape",Be the first to find this review helpful
2,2,Great place to work,"May 3, 2021 - Anonymous Employee",5.0,High income potential and upward mobility,"Pressure cooker, high expectations and stress expected",Be the first to find this review helpful
3,3,Great culture and great opportunity for growth,"May 3, 2021 - BDR in San Francisco, CA",5.0,Excellent growth and networking opportunities,Not many cons I can think of,Be the first to find this review helpful
4,4,Fabulous Place to Work!,"May 3, 2021 - Customer Success Guide in Denver, CO",5.0,"Once you’re in, you’re given the freedom and flexibility to explore multiple roles within the company.",Still a “startup mentality”—so keep in mind all this entails!,Be the first to find this review helpful
5,5,Amazing Place towork,"May 2, 2021 - Lead Member of Technical Staff in San Francisco, CA",5.0,Work life balance at Salesforce,401 K match is very limited compare to other companies,Be the first to find this review helpful
6,6,terrible,"Jun 3, 2021 - Sales",1.0,nice views of the bay,terrible management very limited space to grow,5 people found this review helpful
7,7,Experience May Vary,"May 2, 2021 - Account Executive in New York, NY",5.0,Great benefits and good compensation.,"Experience can vary a lot depending on your manager. Many are great, but I’ve seen several great AEs get burned out and leave.",Be the first to find this review helpful
8,8,Salesforce truly supports and values family priorities,"Apr 27, 2021 - Senior Security Engineer in Seattle, WA",5.0,"Salesforce has posted the benefits its offers employees online so I will not cover those here. What I want to share is Salesforce actually walks the walk when they say they support employees to find a work life balance especially where family is concerned. Over and over again I have been able to flex my schedule to meet family obligations. The on-going pandemic has really brought to the fore front the huge advantage of SalesForce as a company that actually support employees. Recently I needed to drop a project to be with a sick parent. Working with my manager I was able to be there with my family without thinking about work.The only feedback I received from my manager was ""go be with family and there is no project that supersedes that""",As the company grows we are creating silos.,1 person found this review helpful
9,9,Unbelievable. I have found my home!,"Apr 30, 2021 - Principal Technical Architect",5.0,"Great culture, Great people, and a place where it is okay to learn and grow to master your craft. So far (6 months in) this has been quite the experience. Looking forward to many years to come here.","Staying organized is a bit of a challenge but that is on me to figure out. With so much work and so many people to interact with, it is very tough to keep everything organized and straight. The tools are there, I just need to master them.",Be the first to find this review helpful
10,10,Good company culture,"Jun 7, 2021 - LMTS, Software Engineering",4.0,"Even during pandemic, the company has shifted well for work from home -- the culture has been upholding the best it can during these times!",The boundaries are a bit difficult given work is extending longer periods of time -- but that could be the case anywhere.,Be the first to find this review helpful
11,11,Nice place to work,"Apr 20, 2021 - Senior Analyst",5.0,They really care about employees,Management is a little bit messy... not sure whether this is something all big companies have,Be the first to find this review helpful
12,12,Finally Found The Place To Build My Career,"Feb 8, 2021 - Account Executive in Los Angeles, CA",5.0,"Culture, Compensation, Values, Work/ Life Balance (Generally <50 Hour Weeks)",The standard is that you will still be available to work during PTO so it's tough to feel like you can actually unplug during that time.,1 person found this review helpful
13,13,Amazing company,"Feb 19, 2021 - Associate Software Engineer in Denver, CO",4.0,Work life balance is amazing for those with families. Very supportive culture in general and the values aligned with mine.,Lack of mentorship on my specific teams. Lack of clear onboarding for junior devs that left me floundering a bit.,Be the first to find this review helpful
14,14,Great place to work!,"May 5, 2021 - Technical Account Manager in Indianapolis, IN",5.0,"Great leadership, PTO/VTO, flexible remote, visible management","Siloed products, N/A N/A N/A",Be the first to find this review helpful
15,15,Marketing Cloud AE,"May 6, 2021 - Senior Account Executive in Falmouth, ME",5.0,Nice company to work for,Lots of stress by end of quarter,Be the first to find this review helpful
16,16,Non technical managers good at politics,"Oct 22, 2020 - Anonymous Employee",2.0,"Nice building. ""ohana"" slogan. Used to support internal transfer","toxic managers with no power limit. ""ohana"" is damaged by them.",2 people found this review helpful
17,17,Great,"Apr 28, 2021 - Software Engineer",5.0,A great place to work,Nothing to add here :),Be the first to find this review helpful
18,18,Great company to work for,"Apr 28, 2021 - Enterprise Account Executive in Los Angeles, CA",5.0,"Company culture, philanthropy, focus on employee wellbeing, diversity and inclusion",no major concerns that come to mind,Be the first to find this review helpful
19,19,Great Company,"Apr 28, 2021 - Business Analyst",5.0,Great place to start a career.,Hard to move up within CSG.,Be the first to find this review helpful
