,title,author_info,rating,pros,cons,helpful
0,Amazing workplace,,5.0,Friendly and professional environment with incredible management and leadership teams,Fast-moving nature of tech can make disconnecting from work more challenging,Be the first to find this review helpful
1,Great management matters,,5.0,I found the CEO’s tenet that business drives change to be expressed at Salesforce to its best possible effect on many levels no matter ones personal leanings. Extraordinary!,Growing pains and process gaps abound with an increasingly wide footprint.,Be the first to find this review helpful
2,"Great Benefits, but very fast paced",,4.0,"1- Great benefits such as healthcare, tuition reimbursement, fitness stipend, and perks 2 - Flexible working hours 3- no meeting Fridays 4 - “unlimited” PTO 5- volunteer time off",1 - company is growing rapidly so things are constantly changed 2 - a lot of ambiguity around goals (per team) 3 - constant change in leadership 4 - when working with global teams you will find yourself working late/early hours 5 - lack of clear communication around true priorities. Everything seems urgent and high priority to leaders.,Be the first to find this review helpful
3,Fabulous!,,5.0,Salesforce has so many professionals who understand how to treat others and provide elite business services! I thoroughly enjoyed working there.,There are no drawbacks to working at Salesforce!,1 person found this review helpful
4,BDR,,5.0,Just company with great benefits,Working remote can be challenging,Be the first to find this review helpful
5,Salesforce Commerce Cloud Engineer,,5.0,- Great work-life balance - Good pay and benefits,- The org is primarily located in Utah and Boston. SF recruits are bound to have no in-person team gatherings - Legacy tech stack,Be the first to find this review helpful
6,"It's as Advertised, Love it!",,5.0,"Started July 2022 and it's been amazing...culture, people, clients, benefits, comp....best decision I ever made, but getting into SF is no easy task. Must get a referral!","It can be a little over the top liberal, but I like how they want to contribute to society.",1 person found this review helpful
7,Big And biger,,3.0,Great benefits. Opportunity. Reputation. Smart people. Good place to learn,So big. Easy to be a cog. Everyone is a cog. Unending volume of stuff.,Be the first to find this review helpful
8,Past Experience,,3.0,Opportunity to work on interesting projects.,Too many people to coordinate activities.,Be the first to find this review helpful
9,Great place,,5.0,Culture and benefits. Focus on personal well being,Very big company. So some decisions are made at the higher level with no input from time engineers or individual contributors,Be the first to find this review helpful
10,Pretty Great Experience,,5.0,"The company as a whole is very open to internal career advancement and development, so there’s definitely room for growth. Also love the benefits like ESPP, 6% 401K match, and HSA. Also everyone I’ve reached out to or interacted with have been super friendly and helpful. Overall this is has been a great job to start my transition out of undergrad.",Not a real downside but something to note is that while working you have autonomy over your day to day actions. So just make sure you can motivate yourself and create your own structure. Also SF is big on building your own brand so you need to take ownership of your brand and put yourself out there for exposure and advancement in your career.,Be the first to find this review helpful
11,Great place to work,,5.0,Friendly people and management listens,Commute for me was a little too much.,Be the first to find this review helpful
12,Loyalty is NOT a two-way street here.,,3.0,"-Salesforce does offer great benefits and perks. -Flexible(in most orgs) around where you work and when. The company culture is great, as long as you avoid the Incentive Compensation organization like the plague.","-The company is still stuck in a market based compensation model, but they're not even in line with their current markets. They have yet to adapt like other big tech firms. -There are people placed in high level(SVP & EVP) positions who have little, to no, experience in the organizations and the impact is present by the mass exodus of tenured individuals. -The politics are some of the worst I've ever experienced. If you know people who have, or currently do work here, ask around.",Be the first to find this review helpful
13,Review,,5.0,Salary is really he best,Need to write smtg for a rason,Be the first to find this review helpful
14,"Rewarding, Challenging & Inclusive",,5.0,Worked with two great teams on the Salesforce.org side of the business. Learned a lot. Great culture. Felt part of the teams I worked with....not just as an assistant. Best experience I've had at a company.,Was very disappointed when my temp assignment ended so abruptly due to budget concerns. Would have loved to stay and become a permanent part of the organization.,Be the first to find this review helpful
15,As good as it gets!,,5.0,"I absolutely love working here. Paid extremely well for amount of work required, conworkers are awesome and endlesss opportunities",Lower base salary compared to market average,Be the first to find this review helpful
16,Incredible company if you can handle the pressure,,5.0,Salesforce wants the best talent and knows it needs to have great pay and benefits to get it.,"In a company focused on sales, the pressure is real.",Be the first to find this review helpful
17,"Great Company, Poor Leadership in certain Departments",,4.0,"Great Company to work for, great leaders and values.","For a Work From Anywhere message, having no flexibility in your own department without reason is not aligning to overall message.",Be the first to find this review helpful
18,Current SR AE,,4.0,"great product, fun sales cycle",lack of transparency from upper management,Be the first to find this review helpful
19,Great place to work and gain strategic perspective,,4.0,- Defined GTM in Solutions,- Large Product Portfolio if not in a singular cloud,Be the first to find this review helpful
20,"Okay salary, great WLB, boring work",,4.0,Not much work; salary is fine.,V2MOM bs is annoying. You are required to write some personal goals to your managers which no one cares.,1 person found this review helpful
21,Amazing!,,5.0,"-Unparalleled team, benefits, and overall company culture -Tons of room for upward mobility/growth -Work/life balance and overall flexibility -Leadership actually cares about your well-being and taking care of their employees","-Hyper growth always means a big work load, but that's nothing new in the recruitment world -Fast-paced work environment isn't for everyone",45 people found this review helpful
22,Amazing culture,,5.0,Salesforce has an amazing culture and truly cares about employee development and health. Great work/life balance.,"Fast paced, hyper growth environment",Be the first to find this review helpful
23,Progressive Company that cares about employees,,5.0,"Great benefits, a lot of opportunity, cool culture, easy to believe in the products",pains of acquisitions integrating company data,Be the first to find this review helpful
24,Great place to work for all around!,,5.0,"Salesforce is a fabulous place for career development and work-life balance. While this varies some by team, success is deliverable based, and everyone results your personal time. The work is a good balance of routine and interesting, and they invest well in their employees.","While this is being worked on, promotions and factors around money are kept weirdly secretive compared to other big tech companies. Stocks and compensation are great for new hires, but they don't invest as much in retaining talent.",Be the first to find this review helpful
25,"Confirms stereotypes of large, enterprise software companies",,2.0,Competitive compensation Genuine care about employees Leading brand A software solution for every possible aspect of a business so never at a loss to try and sell something,"You're just a number Sell everything you can, even if the customer doesn't need it Customer Success is just an industry term as SF, but no real meaning behind it Political and social beliefs are paramount - if you don't fall in line then don't bother",4 people found this review helpful
26,Culture,,4.0,Overall the company culture was amazing and your colleagues truly become family. I've met some of my closest friends here and loved my team.,A lot of politics in the sales org which is pretty common at any company,Be the first to find this review helpful
27,Great benefits,,4.0,"some of the best benefits in the biz, esp. parental leave","hierarchal, no clear upward growth",Be the first to find this review helpful
28,Good work culture with talented people.,,4.0,"Good work culture, good perks and talented people.",Cannot think of any cons.,Be the first to find this review helpful
29,Great place to work!,,5.0,"Flexible schedule, work from home, great culture, tons of resources, people willing to step up and help, volunteer time off... the list goes on and on!","So big it's easy to get lost, a bit disorganized in where to find information (because there are so many different places you can go, but the information is out there), no office to visit in my particular market so it's hard to develop relationships remote",Be the first to find this review helpful
30,Principal Engineer,"Jan 4, 2022 - Principal Systems Engineer in San Francisco, CA",5.0,Great culture. People are super supportive. Great learning opportunities as the company adopts new technologies relatively fast.,I cannot think of any cons.,Be the first to find this review helpful
31,Over-hyped,"Mar 13, 2022 - Senior Analyst in Portland, OR",2.0,Good career mobility and development,"Poor investment in leadership skills for managers, poor work-life balance, salaries are no longer competitive.",2 people found this review helpful
32,Company basically makes you boomerang,"Mar 8, 2022 - Account Executive in Chicago, IL",3.0,People leave and come back,You have to leave and come back for a reasonable OTE comp plan.,2 people found this review helpful
33,10/10 No complaints,"Jan 6, 2022 - Account Executive in Denver, CO",5.0,"Amazing culture, great teams and leadership, opportunity to grow or try new things",Structured time in seat vs. performance-based promotions,Be the first to find this review helpful
34,Great company overall,"Dec 19, 2021 - Senior Solution Engineer in San Francisco, CA",5.0,Leaders genuinely care about employee wellness here.,Two of my colleagues who left felt they did not have competitive comp or could advance as they liked.,Be the first to find this review helpful
35,Space,"Mar 23, 2022 - Senior Engineer",4.0,Good to set your own schedule.,"Bad Raises, Traffic, Commuting, Food",Be the first to find this review helpful
36,Great company,"Mar 22, 2022 - Senior Software Engineer",4.0,Big Organization and great team building,Not many perks at company,Be the first to find this review helpful
37,Love Salesforce but too large for me,"Jan 10, 2022 - Account Executive in Austin, TX",5.0,Ample resources provided to sales reps,No stock given to individual contributors,Be the first to find this review helpful
38,Associate Solution Engineer,"Mar 18, 2022 - Solution Engineer in Detroit, MI",4.0,Health Benefits are good Wellness Program Autonomy ESPP option Remote & flexible,Career growth Change teams often Competitive for promotion N/A N/A,Be the first to find this review helpful
39,Good,"Jan 18, 2022 - Sales Strategy Specialist in Reston, VA",5.0,Good people and nice benefits,hard to transfer to other teams,Be the first to find this review helpful
40,SDR,"Apr 8, 2022 - Sales Development Representative (SDR) in Denver, CO",1.0,Pretty good culture and benefits,Pay is crazy low. No increase in pay this year either,2 people found this review helpful
41,Culture,"Apr 15, 2022 - Anonymous Employee",1.0,"Great products, Sound engineering team","Culture too political, all based on who you know",4 people found this review helpful
42,BDR - Outside Hire Review,"Jun 24, 2021 - Business Development Representative in Chicago, IL",2.0,- Great people - Great benefits - Good pay,"Your Account Executives control your destiny. I came in as an outside hire for the first 4 months in the role my Account Executives had no time for me to learn about their accounts, what their goals were and wouldn't let me into their key accounts to help set meetings. This affects my KPI's and was expected to perform with little to no direction. It's radio silent in my 1:1s and was asked to come up with points of view into their new logo accounts. They don't utilize their BDRs correctly and believe were supposed to research all of their new logo accounts and come in with a step by step plan. How am I supposed to do this with no knowledge or direction on any of the products or goals? I've been told by other reps that you have to internally sell you AE's on why things should be opportunities. It's very gamey and if you don't know how to play it...you're in for a rough ride.",7 people found this review helpful
43,Great Place to work,"Dec 27, 2021 - Lead Solution Engineer in Charlotte, NC",5.0,Salesforce has a great culture all around,"Definitely can feel pressure at times to overwork - Not overtly from leadership, but there is a hustle mentality",Be the first to find this review helpful
