,title,author_info,rating,pros,cons,helpful
0,BDA SDR BDR experience,,4.0,"Solid company, good for your resume If you work in a customer facing role (pre sales sales post sales) you will really get solid work experience which will help you in all your future roles forever Market leader Great product to sell Benefit on par with other tech companies in Dublin Management gets a lot of training Access to a lot of training/personal development course Really a lot of opportunities for networking, people believe in it and act accordingly","The location is awful, it is depressing to work not in the city center - yes they’re moving to the docks but it’s still pretty far from downtown and won’t happen before 2021 No food - just some snacks, and pretty bad/unhealthy ones. These 2 points might seem trivial, but you will spend quite a lot of money on Luas and food, trust me, not to mention the time lost when commuting Career progression is there BUT it is extremely slow, which means it also takes a lot of years to move out of Dublin if you want to stay with the same company (4/5 years) It takes a lot of networking to move between functions (BDR to SE or CS) Harsh split of fixed and variable salary in AE roles (50-50) Level of stress always depends on the manager you get There’s not much of a fun element at work, besides the people, who are for the most part lovely and motivated. But no fun company kick off abroad, no cool off sites abroad, no happy hours, no end of quarter drinks... just compare it to other big tech company like Linkedin and Google - it’s much more boring The WFH policy for sales dev is non existent (1 day/month). Pretty ridiculous when this is an EMEA HQ and people are coming from all over. Allow people to go home and work from there to see their families, without having to take PTO all the time. Politics - it is a corporation, so it is political. It’s very clear that sometimes people get a role over others just because they are better liked, not because of their skills. Always need to show your best face which can be exhausting",3 people found this review helpful
1,Great company,,5.0,"Product, colleagues, spirit, vision, allowing sales people to succeed",International management have some tyrants,1 person found this review helpful
2,Good product to represent,,4.0,"Good product to represent, and everyone knows the company.","Completely 'Deal' focused, even-though a deal isn't a thing in a customer's eyes.",3 people found this review helpful
3,Amazing culture!,,5.0,"Fantastic benefits, good salary, great values and culture",Limited growth opportunities for software engineers,Be the first to find this review helpful
4,MTS,,5.0,"Work life balance, high pay, Culture",None. i dont see any issue here.,Be the first to find this review helpful
5,Sr manager,,5.0,"People, culture, values, benefits, volunteering.",Can sometimes be too corporate.,Be the first to find this review helpful
6,Best of the Best,,5.0,"Great Products, Great Values, Great People",I didn't experienced any negativity since I started,Be the first to find this review helpful
7,Solution Engineer,,5.0,Awesome perks and benefits in this company,Might be a bit political,Be the first to find this review helpful
8,Principal Solutions Engineer,,5.0,"Ohana work place, team support each other","Fast update and learning, can’t stop learning",Be the first to find this review helpful
9,"Great sales school, great opportunities",,5.0,"Great learning path, especially for graduates. Amazing people. 5k education reimbursement. Plenty of activities outside of work. Great culture (1-1-1).",Can be very political. High level of competition.,Be the first to find this review helpful
