,rating,pros
0,4.7,"Working Hours/Holidays/Holidays: It's up to you if you can maintain a work-life balance. Employees are not forced to work overtime or work on holidays. However, until you get used to it, it takes a lot of time to work on each item, and the work doesn't progress at all, and as a result, you have to work late at night and on holidays. Once I get used to it, I think I will be able to finish my work early and take a good rest at my own discretion, but even if I see a veteran or manager, my status is online almost every day, even late at night. Impression that there are many workaholics. During working hours, I have customer support and internal meetings, and after hours, I have a schedule of checking information that is flying around the company, studying, doing customer research, and creating proposal materials. If these do not fit in the middle of the night, we will deal with the rest on holidays. Diverse work style support: Complete remote work during the corona period. Approval system if you have to go to work to respond to customers. Transportation is by taxi or private car, public transportation is not available. Public transportation will of course be available after COVID-19, but it is expected that people will go to work once or twice a week, and other shifts will be remote. Since it is performance-based and the restrictions on working hours are very loose, it is possible to pick up and drop off children from nursery school during working hours. However, it is almost impossible to finish all work in time, so many people work early in the morning, late at night, and on holidays."
1,4.9,"Corporate culture/corporate culture: The company is committed to customer success, and there is a culture of valuing employees and stakeholders who are supported by the department that supports operations even after introduction, calling them Ohana (family), and holding family days (family participation events). Organizational structure/communication: There is a culture that allows communication from the vice president to general employees on the company's SNS. It is also possible to send messages overseas. You don't need formal greetings like e-mail, so you can communicate flatly with simple messages that match your purpose. Diversity/Diversity: Continually strengthened and training is provided every year Complaint contact points are openly guided There is also the appointment of women as officers"
2,5.0,"Corporate culture/corporate culture: I feel that the culture is not suitable for foreign companies, and there is an element of cooperation and cooperation with people around you to help each other. Evaluation is partly meritocracy, but if you have good grades, you will be rewarded accordingly, and there are some systems in place to improve your grades. Diversity/diversity: I think that the company places great importance on diversity. The male to female ratio is about the same, and there are many opportunities for women to play an active role. Regarding work style, there is no stereotype that it is natural to go to the office, and as long as you can work efficiently, you can choose to work from home or at a cafe on the go."
3,3.8,"Office environment: We moved to a new office from 2022. All floors are rented from Nippon Seimei Marunouchi Garden Tower in Otemachi. With a café space, a space-conscious collaboration space, and offices equipped with standing desks and high-quality office chairs, it is an environment that makes it very easy to concentrate on work. Snacks and drinks are provided, so you can cover even if you are hungry. You can also work from home, so you can use it for a change of mood. In addition to a wide range of Japanese-style spaces for visiting customers and conference rooms for 100 people, there is also a conference room for one person, so you can use it when you want to work without being caught by the surrounding sounds. ."
4,4.5,"Working hours/holidays/holidays/holidays/holidays/holidays/offices You need to make a conscious effort to maintain a work-life balance. As for vacation, 20 days of paid vacation and several days of sick leave are available in the first year. Summer vacation is a form that can be taken freely from paid vacation. If you can rest, rest, and if you can't, work. Diverse work style support: You can work fully remotely. You can go home early without any problem. Since the amount of work is large, it is essential to be able to proceed efficiently, and the environmental support for that is substantial. The side job is unknown, but I have never seen anyone doing a side job around me."
5,4.9,"Working hours/holidays/holidays/holidays/holidays/holidays: new graduates have to study a lot, so I think that they often spend time studying even after work. Regarding paid leave, the application procedure is not so troublesome, and the image is that managers often readily accept it. Diverse work style support: Remote work has become the current mainstream work style. Of course, if you want to go to work, you can apply in advance and work at the company. Depending on the department, you can freely adjust the time you come to work after completing the work you are in charge of."
6,4.6,"Corporate culture/corporate style: Ohana, everyone is a family, thinking not only employees but also their families, partners, customers, and communities as stakeholders to make the world a better place Organizational structure/communication: Conversation via Slack. After that, we will also talk on the chatter on Salesforce. There is a culture, a culture, a culture of sharing information. Diversity: A culture that embraces all nationalities and races. We are also hiring disabled people, and there are such special positions."
7,4.8,"Corporate culture/corporate style: The culture of OHANA is deeply rooted. There is an atmosphere where everyone helps each other, which makes it easier to work. Organization/Communication: Communication is active. Until recently, they used their own product called CHATTER to communicate, but recently they are using SLACK. Diversity/diversity: There are many things where you can feel diversity, and of course there are many women. There were several people who were not Japanese nationals in the same period, and there were people with disabilities."
8,3.5,"Corporate Culture/Corporate Style: Aiming to balance social contribution and business, employees are actively provided with volunteer opportunities on a daily basis. Organizational structure/Communication: There are plenty of chatter, Slack, web conference environments, etc., even during remote work, so communication is not inconvenient. Diversity: We focus on LGBTQ initiatives and employment of people with disabilities. In addition, there are subsidies for infertility treatment, etc., and there is an environment that accepts and supports diversity."
9,4.1,"Business strengths: Pioneer and global leader in CRM/SFA solutions using SaaS. Weaknesses in business: Expansion of business areas through M&A makes integration difficult. It is becoming difficult to secure personnel with both advanced technology knowledge and an understanding of the customer's business. Business outlook: Digital transformation will continue to grow in the future, but competition will increase, and the process for customers to decide what to choose based on what criteria will become longer."
10,5.0,"Salary system: An image of an inside sales department with an annual income of 5 to 8 million yen. However, since the basic salary is based on an annual salary system with no bonuses and is based on incentives, there are individual differences. The speed of salary increases also has a lot to do with individual performance, and the image is that promotions are based on results, rather than the culture of getting a raise after being employed for a long time. There are some people who change jobs to a closer position such as outside sales directly, but in the case of people with no IT experience, they can start from inside sales and reach a closer position in 2-3 years at the earliest. This is a blue sky and the success of the customer is directly linked to the salary."
11,4.3,"Working hours/holidays and holidays: Since it is a discretionary type, you have a high degree of freedom in structuring your working hours as long as you do what you do. Since study sessions are held after regular hours, participation in study sessions is almost mandatory until you get used to the work (especially for 2-3 years after joining the company). Considering self-study and preparations for the next day onwards, I think it is quite difficult to finish on time. Due to the characteristics of the IT industry, I think that many people are gathering information with their antennas up even on weekends. Diverse work style support: Currently, due to the impact of corona, remote work is the base. (You can go out if you apply internally)"
12,4.9,"Corporate culture/corporate style: I think it's an open company that values ​​culture very much. There is no sense of incongruity in what is written in various places. Organizational structure and communication: We have taken various measures, but I think the current situation is that communication between employees has become quite weak due to working from home. Diversity/diversity: I think we are more advanced than other companies because we are putting effort into this area throughout the company."
13,4.5,"Corporate culture/corporate style: There is an atmosphere where everyone fights together and celebrates success together. Organizational structure/communication: I feel that communication between employees is weak due to the fact that it is remote. I think they are also making efforts to consciously encourage interaction. Diversity/diversity: I feel that even among global companies, they are particularly careful about diversity. Recognizing diversity and emphasizing equality for them."
14,5.0,"Diverse work style support: An environment where remote work is possible is in place, and basically it is almost telecommuting. You can work anywhere as long as you have a computer, mobile phone, and internet environment that you can borrow. I don't necessarily have to go to the office during the corona crisis, and I find it attractive to be able to freely choose how to work. Basically, I make a schedule based on a calendar, so there are fluctuations in how busy I am at work, but I think it is very easy to maintain a work-life balance, such as being able to spend my free time on my hobbies and lessons. I don't think so."
15,5.0,"Corporate culture/corporate style: There is an unwavering corporate culture. Equality, trust, and the like are also wonderful, and it is wonderful that they are putting them into practice as a company. Organizational structure/Communication: There are cross-departmental communication tools, and notifications are smooth. In addition, he has a spirit of helping people, so communication within the company is basically cooperative. Diversity/Diversity: Equal pay for equal work, diversity such as race and nationality are advanced."
16,5.0,"Corporate Culture/Corporate Style: Very open. The corporate culture is also good, reflecting the vigorous American culture. Organizational structure and communication: The organizational structure and communication between employees are good, and everyone is getting along well. Diversity/Diversity: Diversity is good. We are making the most of our diversity, which allows us to work according to gender, race, nationality, religion, work style, and whether or not we have a disability."
17,4.8,"Business strengths: I believe that we are the company that keeps the most customer information in the world, so this is our greatest strength. Business Weaknesses: We have acquired a number of companies, so I think the key will be product, company strategy, and organizational integration. In the long run, the SFA scenario may change as the world becomes more IT-oriented and the sales style changes. Business prospects: Business prospects are bright as the world continues to adopt IT."
18,4.0,"Working hours/holidays and holidays: Although working hours depended on the type of job, they were relatively free. Rather than that, there are many things to do, so the daytime is almost filled with internal and external conferences and meetings. Since it is necessary to study the company's services and the customer environment, I feel that there are many people who work outside working hours (even on holidays). Diverse work style support: Since it is a full remote work, there is no freedom to use time. It's up to you how you work because you're expected to get results."
19,5.0,Corporate culture/corporate culture: There is a culture of working together for mutual achievements. A wonderful system for sharing successes and failures in detail and returning learning to the team. Business communication is smooth Diversity and diversity: Diversity is progressing because it is an American company
20,5.0,"Benefits: Benefits include ESPP, which is common in foreign companies, and US stocks can be purchased at a discount. There is no housing subsidy, retirement allowance is managed at 401k, and general IT foreign office environment: We moved to a new office last year, and the atmosphere is closer to that of the head office, which is quite a privileged environment. The desk is spacious and can be raised and lowered automatically, and the built-in monitor is comfortable at 34 inches. There is a sweets corner on each floor and baristas on specific floors, so you can drink delicious latte and coffee."
21,4.0,"Corporate Culture/Corporate Style: As a company as a whole, many employees are engaged in volunteer activities because they advocate ""contributing to society."" While sharing the results of volunteer activities with all employees, we are expanding our social contributions. Organizational structure/Communication: All communication is done via Slack due to full remote work since the pandemic. Originally, there was also an in-house chat tool, and there were many verbalized communications. I think it will be difficult until you get used to it."
22,5.0,"Working hours/holidays and holidays: Since bonuses are determined based on performance, overtime work is not required unless performance is desired. Diverse work style support: remote work is basically free, easy to take, work requires autonomy, so work style is self-responsibility, boss does not instruct how to do side jobs, etc. are a problem maybe not"
23,4.3,"Business strengths: As a company that started with SFA, that is, sales support for B2B companies, this area remains strong. Weaknesses in business: I have the impression that it is becoming difficult to demonstrate strengths in areas other than SFA, where acquisitions are underway. It is difficult to demonstrate strengths in the B2C area, such as analysis, e-commerce, and marketing, because the B2B area is strong. Observed difficulty in allocating resources to acquire specialized skills"
24,3.8,"Business strengths:Because we are in the market leader position as a customer relationship management system (CRM), we can carry out client work based on our track record and trust. In addition, we are expanding our portfolio by acquiring peripheral solutions such as analytics, marketing, and API management. We will also collaborate with various experts to prepare them."
25,4.8,"Welfare: There is no housing subsidy, but stock options and various benefits are substantial. Tuition assistance is also available. Office environment: Moved to new office in Otemachi in February 2022. Each floor has a shop where you can get sweets and drinks for free, office space, and meeting space. On the top floor, there is a space to welcome customers and a separate training studio."
26,4.9,"Corporate culture/corporate style: Ohana, 1-1-1 model, equality Employees help each other, share information, and work hard together Organizational structure/communication: Communication beyond departments and positions using in-house SNS Can. Diversity/Diversity: Seriously working on SDGs and LGBT"
27,4.9,"Corporate culture/corporate style: There is a lot of very positive communication, and the walls between departments are low. I feel that the culture of being able to immediately consult on internal SNS if there is a problem and receive knowledge immediately from a specialist who has never met face-to-face is noteworthy. A 1:1 meeting with the manager is also held closely, and advice is given according to aptitude. Due to the wide variety of products, product examples, and active knowledge sharing, it is a little difficult to catch up when you first join the company."
