,タイトル,タイトルリンク,w-440,article_answer,ml-5,button,button1,button2,article_asideRight,button3,typography-hy,point,w-100,口コミ投稿日,text-center,report,report1
0,エンジニア、在籍5～10年、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000B0kIy,入社理由と入社後ギャップ,"入社を決めた理由：
業務内容と自身のやりたいことがマッチしたためです。
常々カスタマーファーストの仕事をしたいと考えていて、その理念に共感を覚えました。
また初の外資系の企業であったため、チャレンジの意味合いもあります。

「入社理由の妥当性」と「認識しておくべき事」：
結果を出すことで評価はされますが、年功序列のような何もしなくてもエスカレーター式に上がっていくことはありません。
その為、入社後の自身の努力、労力は必要である点は認識しておいたほうがよいです。",5.0,GOOD！0,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0kIy%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0kIy%26qco%3D3,2022年05月10日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000B0kIy&qco=3,,,,,,,
1,AE、在籍5～10年、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000B0gtN,入社理由と入社後ギャップ,"入社を決めた理由：
優秀な営業が多くSaaS TOPの企業であり、ソリューションが面白いため

「入社理由の妥当性」と「認識しておくべき事」：
ソリューションは非常に面白い。提案の幅が広いが、メインはやはりCRM領域。
近年はコアと呼ばれるCRM領域は市場が狭まっており、特に大手はアカウント次第でホワイトスペースが限られるケースが多い。
また既存顧客の活用度合いもバラバラなため、特にある程度大規模に導入がされているものの、導入効果が出ていないアカウントは、
アップセル・クロスセルが非常に難しく、多くの営業が苦戦している。
また、営業予算としては買収ソリューションである、Tablea、Mulesoft 、Slackなどの予算も課せられ、これらソリューションの売り上げ達成が重要になっている。ソリューション営業がいるため、チームセリング中心の営業スタイルとなり、特に大手はリーダーシップやマネジメントスキルが重要。",3.9,GOOD！3,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0gtN%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0gtN%26qco%3D3,2022年05月04日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000B0gtN&qco=3,,,,,,,
2,営業、在籍3年未満、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000B0d4K,組織体制・企業文化,仕事をバリバリしたい人には最適の職場。日本法人は営業会社ではあるので開発などは行わないがグローバルでも権限は強め。文化としては仕事で成果を上げた人をトコトン評価するので、仕事で結果を出すことに気持ちがどんどん寄っていくようになっている。逆にホワイト企業を求めて入社してきた人には大変苦しく逃げ出したくなる環境だと感じる。そのため辛くても良いから成長したいし、応援してほしいと言う気持ちが無いなら避けた方が良い職場。,4.9,GOOD！1,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0d4K%26qco%3D1,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0d4K%26qco%3D1,2022年04月27日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000B0d4K&qco=1,,,,,,,
3,エンタープライズ、ソリーションエンジニア、在籍3～5年、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000B0coH,入社理由と入社後ギャップ,"入社を決めた理由：
CRM領域に関する圧倒的なシェアと企業文化に感銘を受けた。また未だに成長しており長期的に在籍することが出来ると考えたため。

「入社理由の妥当性」と「認識しておくべき事」：
外から見ているイメージと大きな差異はないが、仕事のレベルはかなり高く、SEとは言え技術者らしく振る舞うだけでなく自分の責任でお客さんのビジネスを成長させるための様々な施策を考える必要がある。
これは社内のさまざまなリソースを熟知してそれらを有効活用するなど、純粋にお客さんに向き合うだけでなく、社内でのポジション作りやそのためのアウトプットするなどの業務をこなす必要を意味し、その点での負荷は極めて高い。
一方技術という点ではかなり独自のものになるため、幅広くITスキルを身につけていこうなどと考える人には不向き。これは特に新卒SEにはデメリットで、技術力という意味での市場価値はあまり高まらないかもしれない。",3.8,GOOD！6,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0coH%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0coH%26qco%3D3,2022年04月27日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000B0coH&qco=3,,,,,,,
4,カスタマーサクセス、テクニカルサポート、在籍3年未満、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000B0bNt,経営者への提言,"テクニカルサポートの給与をもっと引き上げないと人材が流出する恐れがあります。会社が育てたエンジニアに、他社からの魅力的な金額による引き合いがあることを忘れてはなりません。
この会社に限らず、テクサポ業界全体に言えるが、様々な意味でテクニカルサポートは重要だと言うが、本当に経営側がそう思っているのかは甚だ疑問。
コストセンターという名称がついていることからも会社のお荷物的な位置付けなの仕方ないにしても、もう少し社会的地位の向上を図ってもらいたい。
正直現場は疲れてますよ。テクサポは終わりがなく、生産性がないので。",4.5,GOOD！5,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0bNt%26qco%3D10,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0bNt%26qco%3D10,2022年04月25日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000B0bNt&qco=10,,,,,,,
5,マーケティング、在籍5～10年、現職（回答時）、中途入社、女性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000B0Ccr,組織体制・企業文化,企業文化はフラットで、平等を重んじている。新卒や中途、年齢や役職の壁を感じることなく、成果を上げれば評価される。また、懸念や意見があれば声を上げることができ風通しが良い。またイベントごとが多いので、よく会社のオフィスでお祝いにちなんだグッズや食べ物が配られたりする。ボランティアを推進する文化もあり、よくチーム単位でのボランティア活動が行われている。マネージャーは部下とのミーティングを通して互いにフィードバックをし合う文化がある,5.0,GOOD！1,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0Ccr%26qco%3D1,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B0Ccr%26qco%3D1,2022年03月24日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000B0Ccr&qco=1,,,,,,,
6,Solution Engineer、在籍3年未満、現職（回答時）、新卒入社、女性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000B06wy,働きがい・成長,"働きがい：
毎日勉強し毎日成長できる。
社内には本当に様々な企業・業界の猛者がおり毎日新しいことを吸収できる。
あっという間に1ヶ月すぎていくが定期的に振り返りをすると1ヶ月でも相当力がついたと毎月思わされる。
そして助け合う文化(尻拭いでなく教えてくださいには前向きな文化)が浸透しており、イイ人が多い。

成長・キャリア開発：
マネージャーは常に私たちに人生の目的や何をしたいのか向き合ってくれる。
何かを達成するためのリソースやリソースを探すための方法を示してくれる。
発信する人のところにナレッジや人も集まってくるという文化なので、学んだ小さなことから積極的な発信が成長に繋がる。",4.5,GOOD！5,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B06wy%26qco%3D4,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B06wy%26qco%3D4,2022年03月16日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000B06wy&qco=4,,,,,,,
7,営業、在籍3年未満、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000B00cc,入社理由と入社後ギャップ,"入社を決めた理由：
自己成長のため。また、前職では大企業での相対評価という謎の権力や管理者同士の派閥争いに無駄を感じたため。どこの会社でも存在するが、自身の評価というところで営業が成果に直結するところに非常にやりがいを感じ、その環境に飛び込むことが成長につながると考えたため。

「入社理由の妥当性」と「認識しておくべき事」：
妥当性：成長できる環境であると感じています。その分結果が出ないとMgrと一緒に改善プログラムのように日々の行動が監視されていきます。自分ができること、アウトプットにかかる時間、どういった効果を産めるのか、意識して取り組まないと闇雲は限界がきます。
認識しておくべき事：個人で時間をかければどうにかなるという考えは捨てる事。絶対時間は足りなくなります。",3.9,GOOD！2,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B00cc%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000B00cc%26qco%3D3,2022年03月08日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000B00cc&qco=3,,,,,,,
8,アカウント営業、営業、アカウントエグゼクティブ、在籍5～10年、現職（回答時）、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzzOR,入社理由と入社後ギャップ,"入社を決めた理由：
・世界的なCRM/クラウドサービスのパイオニア
・成果主義の為、成績に応じて給与に反映
・組織営業力の強さ(会社のサポート体制)
・従業員が極めて優秀
・様々な組織があり、成果が出ていれば比較的自由に希望の場所への異動が出来る。
・最高レベルの福利厚生

「入社理由の妥当性」と「認識しておくべき事」：
・活躍する人は例外なく超真剣。それなりに仕事して、それなりに給料を貰いたい人は合わないので比較的すぐに退職する。
・元トップセールスマンしかいない。1年目は例外なく売れない。
・プライドを捨てて初心に戻れる覚悟が必要",5.0,GOOD！5,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzzOR%26qco%3D3,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzzOR%26qco%3D3,2022年03月06日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzzOR&qco=3,,,,,,,
9,エンジニア、在籍5～10年、退社済み(2015年より前)、中途入社、男性、セールスフォース・ジャパン（旧：セールスフォース・ドットコム）,https://www.vorkers.com/user_answer.php?vid=a0A2x00000AzjvM,企業分析［強み・弱み・展望］,"強み：
創業者のカリスマが強く継続して残っており、企業文化をうまく統一することに成功している。
安定しており古くから継続利用されているコア製品に加え、買収等によって多くの周辺アプリケーション製品を加えることで、顧客に関するトータルソリューションを提供できる製品ベンダーとなった。
また、20年以上にわたってサービスを提供してきたことによるのコミュニティの厚さ、パートナーエコシステムの強さも特筆すべき点と思われる。

弱み：
文化的な同一性と自社製品に対する矜持は、傍から見てカルト的集団と捉えられる可能性がある。そのため中立性を持って俯瞰した見方ができる人材の育成が望まれる。
またコア製品については、歴代の機能追加の積み重ねによって動線などが回収不能なほどに混乱しており、初学者が忌避する要因となってきている。
現在ではすでに市場に代替となりうる製品が多くあるため、今後そのような失望から新規獲得を失っていく可能性は少なくない。",3.0,GOOD！6,https://twitter.com/share?url=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzjvM%26qco%3D9,https://www.facebook.com/sharer/sharer.php?u=https%3A%2F%2Fwww.vorkers.com%2Fone_answer.php%3Fvid%3Da0A2x00000AzjvM%26qco%3D9,2022年02月18日,https://www.vorkers.com/one_answer.php?vid=a0A2x00000AzjvM&qco=9,,,,,,,
