,タイトル,タイトルリンク,typography-hy,point,w-100,口コミ投稿日,text-center,report,report1,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
0,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3210333/,働き方（勤務時間・休日休暇・制度）,4.7,勤務時間・休日休暇:ワークライフバランスをとるかどうかは自分次第。ベースとなる勤務時間は9：00－18：00だが、コアタイムのないスーパーフレックス。そのため、自分でコントロールする必要あり。ただ、自己学習、資料作成、顧客調査、それぞれやらなければならないことが多く、業務時間以外に勉強時間の確保が必要。勉強時間を勤務時間内に作ることができればよいが、顧客対応と商談を進めるための調査、社内ミーティング等で業務時間外になることがほとんど。どこかで割り切って、やることとやらないことを決めていけばワークライフバランスはとれるが、全てやろうとすると毎日深夜まで仕事しても終わらず休日も仕事に追われ、バランスを崩す。精神的に図太くない人はなかなか割り切れず、自分を追い込んでオーバーワークになり、体調を崩しがち。自分のコントロール次第。多様な働き方支援:リモートワークは部署次第。フルでリモートの部署もあれば、週1～2で出勤という部署もある。ただ、家庭の事情等は考慮してもらえるため、無理に強制的に出社させられることはない。スーパーフレックスのため、家庭の都合で子供を保育園に送ってから出社するため、朝の開始を遅らせる、迎えに行くので早帰りする等は調整可能。,2022年03月 6日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6885621&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6885621/,,,
1,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3210333/,働き方（勤務時間・休日休暇・制度）,4.7,勤務時間・休日休暇:ワークライフバランスを保てるかどうかは自分次第。強制的に残業や休日の仕事を強いられることはない。ただし、慣れないうちは1個1個の作業に非常に時間がかかり、仕事が全く進まず、結果的に深夜や休日も仕事をせざるを得ない。慣れたら自分の裁量で仕事を早く終わらせ、しっかり休むことができるようになるのかと思うが、ベテラン、マネージャーを見ても深夜でもステータスがほぼ毎日オンライン。ワーカーホリック多数という印象。時間内は顧客対応と社内会議、時間外に社内で飛び交っている情報の確認、勉強、顧客調査、提案資料作成というスケジュール。これらが深夜で収まらないと休日に残りを対応。多様な働き方支援:コロナ期間中は完全リモートワーク。顧客対応で出勤せざるを得ない場合は承認制。移動手段はタクシーまたは自家用車で、公共交通機関利用不可。コロナ後は公共交通機関は当然利用可になるが、週1～2で出勤、その他リモートというシフトになると予想。成果主義で勤務時間に対する拘束は非常に緩いため、子供の保育園の送り迎えを業務時間に対応することも可能。ただし時間内に業務を全て終えることはほぼ不可能なため、その分早朝、深夜、休日に仕事をしている人多数。,2021年02月23日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5702486&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5702486/,,,
2,男性/ Solution Engineer/ 現職（回答時）/ 中途入社/ 在籍3～5年/ 正社員/ SE本部/ SE,https://en-hyouban.com/company/10025403019/user_kuchikomi/3085779/,年収・給与,5.0,給与制度:提示される想定年収の8割が固定給で残り2割がインセンティブインセンティブは四半期ごとに支払われる。インセンティブの計算は個人の数字よりも、Japan全体の数字による影響が大きいため、良くも悪くも、当初提示された想定年収とほぼ同じか、それ以上がもらえる。当初の想定を大きく変えた額が貰えることは少ないが、当初想定を下回ることもない。評価制度:年に2度昇格のチャンスがある。前提として個人の目標を達成していることは重要な判断基準になり、達成していなければそもそも昇格候補者にならない。達成している人の中で、その他の活動も加味して貢献度の高い人や、提案の質の高い人が昇格する。昇格とは別に昇給もあり、昇給は年に1度のチャンスがある。昇給は普通に活動していればできるもので、大体年に3〜5%くらい給与が上がる。もともと比較的に給与の高い会社なので、仮に前年1000万であれば、翌年は昇格しなくても年収が50万上がる。,2020年11月20日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5501522&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5501522/,,,
3,男性/ 6903/ 現職（回答時）/ 中途入社/ 在籍6～10年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3264724/,企業カルチャー・組織体制,4.9,企業カルチャー・社風:カスタマーサクセスを打ち出しており、導入後も運用をサポートする部門が支援する社員やステークホルダーをオハナ（家族）と呼んで大切にする文化がありファミリーデー（家族参加イベント）などもある組織体制・コミュニケーション:社内SNSで副社長から一般社員までコミュニケーションできる文化がある。海外へのメッセージも可能。メールのように堅い挨拶文がいらないので目的に合わせたシンプルなメッセージでフラットにやりとりできる。ダイバーシティ・多様性:常に強化しておりトレーニングも毎年行われるクレーム窓口もオープンに案内されている役員の女性登用もある,2021年04月 8日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5780749&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5780749/,,,
4,男性/ カスタマーサクセス/ 現職（回答時）/ 中途入社/ 在籍11～15年/ 正社員/ ディレクター,https://en-hyouban.com/company/10025403019/user_kuchikomi/2430781/,福利厚生・オフィス環境,5.0,福利厚生:オフィス内のカフェテリアは充実している。エスプレッソマシンは自動であるが、豆もそれ専用の焙煎が行われたものが鮮度よく補充されるので、なかなかこのクオリティの味は本格的な店でも味わえないと思う。食べ物も当初はお菓子が多かったが、従業員の声を受けて、ドライフルーツや果物、ナッツ、ヨーグルトなどがヘルシーなものが提供されるようになり、どれくらいのコストがかかっているのか不安になることもある。外資系で一般的なESPPやRSUもあり株価が上がっている現時点では給与以外の資産形成の助けになっている。オフィス環境:増える従業員に対してスペースが足りていないので、フリーデスクが一般的。会議室は結構な数があるが足りていない。オフィス家具はしっかり投資されていて、アーロンチェアやスタンドアップデスクは長時間仕事をする身としては非常にありがたい。,2020年06月 2日,2020年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5121203&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5121203/,,,
5,女性/ アカウントエグゼクティブ/ 退職済み（2022年）/ 中途入社/ 在籍3～5年/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3518041/,働き方（勤務時間・休日休暇・制度）,2.8,勤務時間・休日休暇:ワークライフバランスは、アカウントエグゼクティブをしている限りはない。達成したければ毎日23時以降や夜中まで働き、土日も仕事、一日中9時から19時まで5件ほどアポを組めと言われる。アポがあまり入っていないと、カレンダーのスクショを会社に公開されて晒しものにされたりもある。もちろん資料作りはそれ以降に行う。コマーシャル営業はそれに加えてお客様のシステム構築をさせられる。多様な働き方支援:リモート可能しかし、コマーシャルは最近出社義務になってきている早帰りも可能家から仕事していいよということ。副業はOKです。,2022年02月28日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6858719&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6858719/,,,
6,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3210333/,働き方（勤務時間・休日休暇・制度）,4.7,勤務時間・休日休暇:ワークライフバランスを取るかどうかは自分次第。ベースとなる勤務時間は9：00-18：00だが、コアタイムのないスーパーフレックス。そのため、自分でコントロールする必要有。ただ、覚えなければならないことが多く、業務時間以外に勉強時間の確保が必要。勉強時間を勤務時間内に作ることができればよいが、顧客対応と商談を進めるための社内ミーティング等で勤務時間外になることがほとんど。どこかで割り切って、やることとやらないことを決めていけばワークライフバランスは取れるが、全てやろうとすると毎日深夜まで仕事しても終わらず休日も仕事に追われ、バランスを崩す。精神的に図太くない人はなかなか割り切れず、自分を追い込んでオーバーワークになり、体調を崩しがち。自分のコントロール次第。,2021年09月 4日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=6180615&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/6180615/,,,
7,男性/ 営業/ 現職（回答時）/ 新卒入社/ 在籍21年以上/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/3405797/,企業カルチャー・組織体制,5.0,企業カルチャー・社風:カルチャーは外資に似合わず周りの人と協業や協力して仕事をする助け合いの要素があるように感じています。評価は一部実力主義のところもありますが、成績をしっかり残していればそれなりの見返しもありますし、成績をあげるための仕組みもある程度整備されているところがあります。ダイバーシティ・多様性:ダイバーシティを非常に重視している会社だと思います。男女比はだいたい同じくらいで、女性の活躍も数多く用意されています。ワークスタイルに関しても、オフィスに出社するのが当たり前という固定観念はなく、効率的な働き方ができる限りにおいては、在宅や出先のカフェで仕事をするなどが選択できます。,2021年06月30日,2021年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=5974008&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/5974008/,,,
8,男性/ カスタマーサクセス/ 現職（回答時）/ 中途入社/ 在籍11～15年/ 正社員/ ディレクター,https://en-hyouban.com/company/10025403019/user_kuchikomi/2430781/,年収・給与,5.0,給与制度:ベース＋インセンティブが基本営業はベース低めだが個人目標に対する成果によってインセンティブが大きく変動するので、売れる営業は年齢関係なく高い給料を得ることができ、昇進もしていく。営業以外は基本、チーム目標の達成に応じてインセンティブが変動するので、そこまで大きな給与の振れはない。バックオフィス系は全社の業績により原資が決定され、マネージャーによるプロセス評価でボーナスが決まる。評価制度:基本、実力主義が徹底されていると思います。ここ数年でかなり人が増えていますが、給料高いけど実力は。。。な人は少なくとも自分の周りには見かけません。,2022年06月27日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=7382995&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/7382995/,,,
9,男性/ 営業/ 現職（回答時）/ 中途入社/ 在籍3年未満/ 正社員,https://en-hyouban.com/company/10025403019/user_kuchikomi/4241760/,福利厚生・オフィス環境,3.8,オフィス環境:2022年年度より新しいオフィスに移転しました。大手町の日本生命丸の内ガーデンタワーを間借りした全フロア対応となっています。カフェスペースや空間を意識したコラボレーションスペース、スタンディングデスクや質の高いオフィスチェアを完備した執務室など、非常に仕事に集中しやすい環境です。スナックやドリンクは完備していますので、小腹が空いてもカバーできます。在宅ワークでの勤務もできますので、気分転換で使い分けて利用も可能です。お客様を訪問するための和室スペースや百人規模の会議室など幅広く用意しているだけでなく、一人用の会議室もあるので、周りの音に囚われずに業務を行いたい場合にも利用可能です。,2022年05月23日,2022年時点の情報,https://en-hyouban.com/inquiry/?kuchikomi_id=7214100&company_id=10025403019,https://en-hyouban.com/company/10025403019/kuchikomi/7214100/,,,
