,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
0,Great job on customer support,using,Consulting Service,2022-07-28,4,"You can manage the history of previous interactions for each customer, and you can also collectively manage the progress.
Since it can be managed by multiple people, LTV increases overwhelmingly.
Even when the person in charge changed, the cost of taking over was reduced.",>201-300,"In the past, sales management and personnel management were ambiguous and productivity declined, but with the introduction of the service, we can centrally manage the system, so we can now conduct sales activities more efficiently than before.",4.0,4.0,4.0,4.0,4.0
1,You can share customer management in one app.,using,IT related Service,2022-07-28,5,"By collectively managing internal customer information in Salesforce, it is possible to collaborate across departments. Sales staff can use smartphones from outside the office to check partner and customer information, so it can be used to prepare for business negotiations.",>51-100,"Conversations, reactions and characteristics with each customer can be written in the sales activity data, and as it accumulates, it becomes detailed analysis data for each customer.",4.0,4.0,5.0,5.0,4.0
2,"If you do not spend time consulting at the time of introduction, it will be difficult to use",using,Food and Leisure Service,2022-07-22,3,"Consultation at the time of introduction is the key to success. If you don't spend time and leave vague parts, it will be unusable. Very difficult to master.
Also, it seems that it may or may not fit depending on the service that the company is developing.
We are developing human resource services, but to be honest, they are not very suitable for sales force, and the company's evaluation is that it would have been better to use something dedicated to human resource services.",>51-100,It was great that we were able to consolidate the data that had been managed separately for each division. I think that the value of the database has increased because we were able to unify the information that was acquired in each format for each business division.,2.0,3.0,2.0,2.0,5.0
3,Customer management made easy,using,IT related Service,2022-07-20,4,"With this service, you can manage customer information in detail and view it easily, so you can expect to improve the quality of your sales. You can also improve the quality of your sales through reports, etc.",>1,"Customer management used to be done on paper, but now it can be done in the cloud, so we no longer have to worry about data loss and have solved the data management problem.
I felt the benefits of being able to improve the quality of sales with more detailed customer management.",2.0,4.0,3.0,4.0,3.0
4,Interdepartmental links can be made stronger,using,Manufacturer/manufacturing system,2022-07-19,5,"Salesforce Sales Cloud has a very easy-to-read UI, so you can instantly grasp the progress of a project, so I think it is an essential sales progress management tool.",2-10,"By using Salesforce Sales Cloud, it is no longer necessary to check the progress status by sending emails to each sales representative each time. I feel great benefits.",4.0,5.0,3.0,4.0,3.0
5,Customer information can now be managed with data,using,Real Estate/Construction/Equipment,2022-07-18,4,"We were able to improve security by being able to manage customer information as data, which was previously managed on paper. In addition, even in situations where telework has increased, data can be accessed while ensuring security.",501-1000,"Customers' personal information must be strictly managed, but until now, paper contracts and photo lists were stored in internal cabinets with locks, so security has improved since the introduction of sales force. did.",4.0,5.0,5.0,4.0,4.0
6,Importance of internal information sharing,currently not using,IT related Service,2022-07-17,4,"When building system linkage and data linkage centered on SalesForce, SalesForce as an interface is very good at handling. The fact that no-code development is possible is highly valued.",>201-300,"Since the planning, sales, development, marketing, and ordering departments had been individually optimized, there was no single pipeline from the start of the project to the receipt of the order, and the division of information began to emerge. Data from all departments can now be centrally managed, which has been effective in decision-making.",4.0,5.0,4.0,4.0,4.0
7,Visualization of customer management and convenient project management,currently not using,Real Estate/Construction/Equipment,2022-07-14,4,"You can centrally manage customer data, and I think it is convenient for managing and sharing project information.
Also, since there are so many external services that can be linked, it has become easier not only for customer management but also for other tasks.",>101-200,"Since the sales and customer management are completely visualized, the progress of inquiries and business development can be seen at a glance on the dashboard, and sales management was able to escape from Excel.
In addition, the report of the sales team work can be issued immediately, so the work efficiency has been improved.",3.0,4.0,5.0,4.0,4.0
8,Various functions can be used on one screen,using,IT related Service,2022-07-14,4,I felt that it was very convenient because there are various functions in one service than the one I used before. Sometimes the screen will display an error. It is easy to use with a simple design without any problems other than errors.,501-1000,"Since I was using multiple services and using them properly, it was very difficult to remember and close and open the page. It also reduces the time and effort required to complete the work, shortening the time required for work.",5.0,4.0,3.0,4.0,4.0
9,A little old fashioned but a must,using,Manufacturer/manufacturing system,2022-07-13,3,"The UI is old and there are many things that I think are difficult to use, but thanks to this, there is also an aspect that data management is very advanced. By making this a core tool, it is not easy to migrate, so there are some aspects that are in trouble.",>51-100,"Customer information can be centrally managed. Project management is also possible, and aggregation and analysis are very advanced. On the other hand, it takes a lot of effort and time to master it.",2.0,3.0,2.0,4.0,4.0
10,Smooth target extraction in reporting,using,Finance/Insurance,2022-07-13,5,"We manage hundreds of thousands of registered users with the free version, but what I like most is that when we want to narrow down the target, we can customize the report and extract it quickly. It is a service that you can be satisfied with even with the free version.",2-10,"Originally, it took time for everyone on the team to get used to it because it was managed in analog format using Excel, etc., and I thought it would be nice to have data such as manuals. Also, I felt it was a little inconvenient because not everyone could do it and I needed authority to download the report to Excel. But now we have reached a point where we can't manage customers without it.",5.0,5.0,5.0,5.0,4.0
11,Great for making calls and managing lists,using,Mass Media/Advertising/Design/Game/Entertainment,2022-07-12,4,"I think it's a great service for managing calls and lists.
Our company uses the cheapest plan with several employees, so we are satisfied with the amount.
However, reports and dashboards can be difficult to operate.
In addition, it may suddenly enter maintenance, which interferes with business.",2-10,"Since we can collect data such as how many calls an employee makes per day, we can now see how much work each employee does in a day.",5.0,5.0,4.0,5.0,2.0
12,Very convenient to use,using,IT related Service,2022-07-08,4,"To be honest, there is no merit with just the standard functions as they are. However, if you set (customize) it so that it matches your company's operations, it will be very convenient. Therefore, it is better to have some IT skills (system development experience). If you don't, I think you need help.",301-500,"First of all, our company had insufficient negotiation management. Business negotiations from large business negotiations to small business negotiations. There are short-term business negotiations and long-term business negotiations. Since there are multiple branches, it was difficult to grasp the status of business negotiations. Therefore, we considered using Salesforce and introduced it.
But the out-of-the-box functionality wasn't enough. This is due to our own operation. But that uniqueness cannot be sacrificed. Therefore, we have customized it for our company. We had personnel with IT skills, so we were able to customize. Customization is easy. It is easy for those who have experience in system development because it is only necessary to add items, change screens, and define reports. However, if you don't have that experience, it can be a little tough.",4.0,4.0,5.0,4.0,5.0
13,Customer management allows you to see opportunities in stages or change sales,using,Consulting Service,2022-07-06,5,"Customer management makes it possible to visualize business negotiations by phase and clarify the actions that the sales team should take, such as closing and digging. In addition, phase management makes it easier to predict the landing of sales.",2-10,"Rather than relying on the senses and experiences of individual sales staff, sales activities will work as a team, sharing successes and failures, making it easier to take over when there is a reassignment, etc., and above all, knowledge will be accumulated. The sales management on the dashboard is also easy to see.",4.0,5.0,4.0,4.0,4.0
14,Essential system for business activities,using,IT related Service,2022-07-04,4,"It has all the functions you need to manage your business. In addition, many members who changed jobs and joined the company used it in their previous jobs, and it is becoming the basis of sales. On the one hand, the cost is high.",>51-100,I feel that being able to visualize the sales situation is the greatest effect. It is also good to be able to drill down from the general data to the activity details of each individual and check it.,4.0,5.0,4.0,5.0,5.0
15,Essential services for customer support,using,Transportation/Traffic/Logistics/Warehouse system,2022-07-03,5,"Before introducing this, I used to record my interactions with customers using a template I made myself in a spreadsheet application, etc.
After introducing this, it has become easier to manage with multiple people, and even if the person in charge changes, it is easy to trace past interactions, so LTV increases.",2-10,"You can manage the history of previous interactions for each customer, and you can centrally manage customer information, progress, etc.
Even when the person in charge changed, the cost of handing over was reduced.",5.0,5.0,5.0,4.0,4.0
16,If you want to introduce customer relationship management (CRM) with multi-channel,using,IT related Service,2022-07-02,5,"I am currently working as a sole proprietorship, but my current clients have asked me to
I managed each user. In addition, I needed a function as a CMS, and I was able to use it for the CMS and CRM functions of the company I belonged to at the time. That's why CRM, CMS and multi-channel to customers is a 5 out of 5.",301-500,"I use three sales clouds, including my current main client. As for the first and second companies, I was the one who promoted the introduction, so I went to the Nagoya branch office in the Lucent Tower of Salesforce to receive an explanation! At that time, I went to receive an explanation about the introduction of a nursing care facility management company. At that time, the purpose was a CMS function that uses FAQs externally and internally, and a CRM that can manage inquiries and interactions with users and future users with SaaS. Until now, CRM was ZohoCRM and CMS was
We have introduced software that can be used free of charge, and we have changed CRM and CMS from information exchanges that used to be work information exchanges of old-fashioned paperwork.
They unified it and introduced SaaS so that future needs can be assembled. Inquiries on CMS can be answered by call, email, chat and multi-channel on CRM multi-channel. With the SaaS infrastructure that allows the information to be exchanged between companies and nursing homes, the troublesome time of ""do you bother looking for information?"" No more idling time, so no more stress
I got the benefit of removing it.",5.0,5.0,5.0,5.0,5.0
17,A must-have tool for your business,using,Manufacturer/manufacturing system,2022-06-15,5,"Customer information can be summarized in multiple ways, and both administrators and users can use it without stress. There is no problem in linking with other databases, and it is the core of our customer database.",>1000,"Based on the huge amount of customer data collected from the same perspective, we have built our own calculation engine that makes proposals for similar customers and those with strong relationships.
The advantage is that you can manage various customers from the same perspective.",5.0,5.0,5.0,4.0,5.0
18,Functionality as SFA is covered,using,IT related Service,2022-06-11,4,"The ability to streamline sales activities and accumulate and analyze data.
Since it has been introduced company-wide, it is possible to share customer information between departments.
Because of the high degree of freedom in what can be done, it takes a lot of time and effort to put it into operation.",301-500,"Accumulate customer information, grasp the status of the approach list,
Being able to do lead nurturing is very convenient.",3.0,4.0,5.0,4.0,5.0
