,topic,usage situation,type of business,review date,overall rating,review,number of accounts used,effects after introducing the service,rate ease of use,rate helpfulness,rate customizability,rate functional satisfaction,rate service stability
0,カスタマーサポートで大活躍,using,Consulting Service,2022-07-28,4,"顧客ごとで以前のやり取りの履歴が管理できたり、進行状況なども一括管理することができる。
複数人での管理が行えるため、LTVが圧倒的に上がる。
担当が変わった際も引き継ぎの際にかかるコストが削減できた。",>201-300,以前は営業管理や人事管理が曖昧で生産性が下がっていたが、サービス導入によりシステムで一元管理できる為、以前より効率よく営業活動を行えるようになった。,4.0,4.0,4.0,4.0,4.0
1,顧客管理を一つのアプリで共有できます。,using,IT related Service,2022-07-28,5,社内の顧客情報をSalesforceにまとめて管理することで部署を超えた業務のコラボレーションが可能になります。営業スタッフは社外からスマホで相手先や顧客情報をチェックすることができるので商談の準備に使えます。,>51-100,営業活動のデータにはそれぞれの顧客との会話、反応や特徴を書き込むことができ、蓄積されるにつれて顧客ごとの詳細な分析データになります。,4.0,4.0,5.0,5.0,4.0
2,導入時のコンサルに時間をかけないと使い勝手が悪くなる,using,Food and Leisure Service,2022-07-22,3,"導入時のコンサルが成功のカギ。時間をかけないで曖昧な部分を残すと、使い勝手の悪いものになる。使いこなすのがとても難しい。
また、会社が展開しているサービスによって合う・合わないもありそう。
人材サービスを展開しているが、正直いってセールスフォースにはあまり合っておらず、人材サービス専用のものを使ったほうが良かったのではないかというのが社内の評価。",>51-100,事業部ごとにバラバラに管理していたデータを集約できたのはとても良かった。事業部ごとのそれぞれの様式で情報を取得していたのを導入を機に統一できたので、データベースとしての価値はあがったと思う。,2.0,3.0,2.0,2.0,5.0
3,顧客管理が簡単に,using,IT related Service,2022-07-20,4,このサービスは顧客の情報を細かく管理することができ、それを簡単に閲覧できるので、営業の質のアップが期待できます。また、レポートなどによって、営業の質を上げることもできます。,>1,"顧客管理を紙で行っていたのですが、クラウドで行えるようになったので、データ消失の心配がなくなり、データ管理の課題を解決することができました。
さらに細かな顧客管理で営業の質を上げることができるようになりメリットを感じました。",2.0,4.0,3.0,4.0,3.0
4,部門間の連をがより強固にすることが可能,using,Manufacturer/manufacturing system,2022-07-19,5,Salesforce Sales Cloudはとても見やすいUIを有しているので、プロジェクトの進歩状況を一瞬で把握することができるので、営業の進歩状況管理ツールとしては必須のものだと思います。,2-10,Salesforce Sales Cloudを使うことによって、各営業担当に進歩状況を都度メールを送って確認する必要が無くなり、自分の確認したい時にWeb上で案件の詳細を把握することができるようになった点で、大きなメリットを感じています。,4.0,5.0,3.0,4.0,3.0
5,顧客情報をデータで管理できるようになった,using,Real Estate/Construction/Equipment,2022-07-18,4,紙媒体で管理していた顧客情報をデータで管理できるようになったことで、セキュリティを向上させることができた。また、テレワークが増えた状況でもセキュリティが確保された上でデータにアクセスできる。,501-1000,顧客の個人情報は厳重に管理しないといけないが、これまでは紙媒体での契約書や写真付き名簿を社内の鍵付きキャビネットで保管していたので、セールスフォースを導入したこときよりセキュリティが向上した。,4.0,5.0,5.0,4.0,4.0
6,社内情報共有の重要性,currently not using,IT related Service,2022-07-17,4,SalesForceを軸としてシステム連携、データ連携を構築する場合、インターフェースとしてのSalesForceの対応が非常に良い。ノーコード開発が可能な点が高く評価できる。,>201-300,企画、営業、開発、マーケティング、受発注の各部門が個別に最適化されておいたため、案件の開始から受注までが一本のパイプラインにならず情報の分断が発せ始いていたが、導入により全部門のデータが一元管理できるようになり、意思決定に効果があった。,4.0,5.0,4.0,4.0,4.0
7,顧客管理を可視化、案件管理は便利になった,currently not using,Real Estate/Construction/Equipment,2022-07-14,4,"お客様のデータを一元管理することができるし、案件情報の管理や共有にも便利だと思います。
また、連携できる社外のサービスが非常に多いので、顧客管理だけでなく、他の業務にも簡単になりました。",>101-200,"営業と顧客管理を完全に可視化されているので、問い合わせ対応やビジネス開発の進行状況をダッシュボードで一目でわかる、営業管理をエクセルから脱することができた。
また、販売チーム業務のレポートもすぐに出せますので、業務効率化を実現した。",3.0,4.0,5.0,4.0,4.0
8,ひとつの画面で色々な機能が使えます,using,IT related Service,2022-07-14,4,以前使用したものよりも、一つのサービスで色々な機能があるのでとても便利だと感じました。ただたまに画面がエラーが出てしまう事があります。エラー以外は問題なくシンプルなデザインで使いやすいです。,501-1000,複数のサービスを利用して使い分けていた為、とても覚えるのが大変でページを閉じたり開いたりしていましたが、こちら導入後はこちらひとつで完結するので、間違えて閉じてしまって開き直したりの手間も減り、業務の時間短縮になりました。,5.0,4.0,3.0,4.0,4.0
9,ちょっと古臭いが必需品,using,Manufacturer/manufacturing system,2022-07-13,3,UIは古く、使いにくいと思う点が非常に多いが、やはりこれのおかげでデータ管理が非常に進んだ側面もある。これを基幹ツールとしてしまったことにより、移行は容易ではないため、困っている側面もある。,>51-100,顧客の情報が一元管理できるようになった。案件管理もでき、集計や分析が非常にはかどる。一方で使いこなすのに非常に手間と時間もかかる。,2.0,3.0,2.0,4.0,4.0
10,レポート作成でターゲット抽出がサクサク,using,Finance/Insurance,2022-07-13,5,何十万人の登録ユーザーを無料版で管理しておりますが、ターゲットを絞り出したい時にレポートをカスタマイズしてサクサク抽出ができるところが1番気に入っております。無料版でも充分満足できゆサービスです。,2-10,もともとエクセルなどでアナログなどで管理しておりましたのでチームのみんなが慣れるまでに時間がかかった点、説明書などのデータがあるといいな思いました。またレポートをエクセルに落とす際、全員ができるわけではなく権限が必要なためすこし不便と感じました。ですが今はもうこれがないと顧客管理できない体制までなりました。,5.0,5.0,5.0,5.0,4.0
11,架電やリスト管理をするには最適,using,Mass Media/Advertising/Design/Game/Entertainment,2022-07-12,4,"架電管理やリストの管理をするにはすごくいいサービスだと思います。
弊社は従業員も数名で一番安いプランを使っているから金額的にも満足です。
ただレポートやダッシュボードは操作しづらい部分があります。
また急にメンテナンスに入ることがあり、業務に支障をきたします。",2-10,従業員が１日にどれだけ架電しているか等のデータが取れるので、従業員が一日にどれだけ仕事しているかをデータで見れるようになりました。,5.0,5.0,4.0,5.0,2.0
12,使いこなせば非常に便利,using,IT related Service,2022-07-08,4,正直そのままの標準機能だけではメリットは出ません。しかし、会社の運用に合わせるように設定（カスタマイズ）すれば、非常に便利になります。なので、ある程度のITスキル（システム開発経験）があった方が良いです。ない方は、サポートが必要と思います。,301-500,"先ず、当社は商談管理が不十分でした。事業形態的に大きな商談から小規模商談。短期商談や長期商談などさまざまです。支店も複数ありますので、その商談状況を把握するの大変なことでした。そこで、Salesforceの利用を検討し導入しました。
しかし、そのままの機能では十分ではありませんでした。当社独自の運用があることが原因です。しかし、その独自性を犠牲にはできません。よって、当社用にカスタマイズを実施しました。当社にはITスキルを持っていいる人材がいましたので、カスタマイズすることが可能でした。カスタマイズは簡単です。項目を増やしたり、画面を変更したり、レポートを定義する程度なので、システム開発の経験がある方であれば簡単です。しかし、その経験がない場合は少々厳しいと思います。",4.0,4.0,5.0,4.0,5.0
13,顧客管理により商談をフェーズで見えるか、営業が変わります,using,Consulting Service,2022-07-06,5,顧客管理により商談をフェーズごとに見える化、クロージングや掘り起こしなど営業チームの取るべき行動が明確になります。また、フェーズ管理により、売り上げの着地見込みが立てやすくなります。,2-10,営業スタッフ個々人の感覚や経験に頼った営業活動ではなく、チームとして動き、成功や失敗を共有、配置換えがあったときの引き継ぎなどが容易になり、なによりナレッジが蓄積していきます。ダッシュボードの売上管理なども見やすいです。,4.0,5.0,4.0,4.0,4.0
14,営業活動上、必須システム,using,IT related Service,2022-07-04,4,営業管理する上で必要となる機能が一通り揃っている。また、転職して自社に入ってきたメンバーも、前職で使っていたことが多く、営業の基本になりつつある。一方で、コストは高い。,>51-100,営業状況の可視化ができたことが最大の効果だと感じている。大まかなデータから、個人ごとの活動内容までドリルダウンして確認していくことができるのも良い。,4.0,5.0,4.0,5.0,5.0
15,カスタマーサポートに必須のサービス,using,Transportation/Traffic/Logistics/Warehouse system,2022-07-03,5,"これを導入する前までは表計算アプリ等に自分で作ったテンプレートで顧客とのやりとりを記録していたが、
これを導入してから複数人での管理がしやすくなったし、担当が変わっても過去のやり取りが遡りやすいのでLTVが上がる",2-10,"顧客ごとにこれまでのやり取りの履歴が管理でき、顧客情報、進行状況などを一元に管理することができる。
担当が変わった時も引き継ぎの際にかかるコストが削減できた。",5.0,5.0,5.0,4.0,4.0
16,顧客管理（CRM)をマルチチャネルで導入するなら,using,IT related Service,2022-07-02,5,"私は現在は個人事業主として仕事をしておりますが、現在のクライアントから過去に勤務していた介護施設の運営会社でも
ユーザー一人一人の管理をしておりました。またCMSとしての機能も要しており、当時所属した会社のCMSとCRMの機能にもいかせておりました。CRM、CMS、顧客へのマルチチャネルが５段階中５である理由です。",301-500,"私は現在のメインクライアントも含めてsales cloudを３社利用しております。１社目と２社目に関しては私が導入を推進したこともあり、Salesforceのルーセントタワーにある名古屋支社まで説明を受けに行ったことがあります！その際は介護施設運営会社の導入の説明を受けに行きました。当時の目的としてはFAQを外部と内部に使うCMS機能、そしてユーザー、今後のユーザーへの問い合わせややり取り、やり取りの管理も可能なCRMをSaaSで可能。それも今まではCRMはZohoCRM、CMSは
フリーで使えるソフトを導入しており情報のやりとりが旧態依然のペーパーのやり取りの勤務情報だったものをCRMとCMSを
統一させて、今後のニーズも組み立てれるようなSaaSを導入してくれました。CMSでの問い合わせをCRMのマルチチャネルでコール、メール、チャットとマルチチャネルで返信することが可能。その情報を社内や介護施設ごとにやり取りできるSaaS というインフラで「情報をわざわざ探すのかよ」という面倒な時間。アイドリングタイムがなくなったので余計なストレスを
消すメリットができました。",5.0,5.0,5.0,5.0,5.0
17,営業には欠かせないツール,using,Manufacturer/manufacturing system,2022-06-15,5,顧客情報を複数の切り口でまとめることができ、管理者、利用者共にストレスなく利用できる。他のデータベースとの連携も問題なく、弊社顧客データベースの核となっている。,>1000,"同じ切り口で収集した膨大な顧客データをもとに、類似した顧客の提案や関係性の強い顧客の提案などを行う自社の計算エンジンを構築している。
様々な顧客を同じ切り口で管理できる点がやはり何も言っても利点。",5.0,5.0,5.0,4.0,5.0
18,SFAとしての機能性は網羅されてる,using,IT related Service,2022-06-11,4,"営業活動の効率化、データの蓄積と分析ができる点。
全社導入しているため、部門間での顧客情報の共有ができる。
出来ることの自由度が高い分、運用まで乗せるのに手間がかなりかかる。",301-500,"顧客情報の蓄積や、アプローチリストの状況把握や
リードナーチャリングができる点は非常に利便性があります。",3.0,4.0,5.0,4.0,5.0
19,営業の見える化が実現できること、勝ちパターンの確立ができます,currently not using,Real Estate/Construction/Equipment,2022-06-01,3,いままではそれぞれの営業が各々取り組んできてきていたいわゆる「営業」と言うものが、このサービスの導入により、可視化できることにより再現性の確立ができました。またそれにより勝ちパターンも分かりました。,>11-30,いままで誰がどのように営業を行い、どこがポイントなのか不明確でしたが、それがこのサービスで判明し、重点を置くポイントが分かりました。,3.0,3.0,3.0,3.0,3.0
